train_loss,epoch,step,val_loss
72596.5234375,0,49,
50234.3359375,0,99,
,0,117,50028.9453125
49878.234375,1,149,
48535.35546875,1,199,
,1,235,44608.7890625
43378.109375,2,249,
44373.3984375,2,299,
45173.87890625,2,349,
,2,353,41169.19140625
41113.49609375,3,399,
42151.6953125,3,449,
,3,471,38020.53125
37979.046875,4,499,
35809.765625,4,549,
,4,589,34579.7421875
35750.14453125,5,599,
32995.3359375,5,649,
33074.5546875,5,699,
,5,707,31060.447265625
30444.40234375,6,749,
30230.796875,6,799,
,6,825,30185.71484375
27998.23828125,7,849,
27713.47265625,7,899,
,7,943,27342.125
26416.939453125,8,949,
27245.34375,8,999,
27061.27734375,8,1049,
,8,1061,25628.994140625
24323.361328125,9,1099,
23964.72265625,9,1149,
,9,1179,24127.06640625
23314.55078125,10,1199,
22998.72265625,10,1249,
,10,1297,22867.39453125
23067.986328125,11,1299,
23124.81640625,11,1349,
21185.509765625,11,1399,
,11,1415,22328.1640625
21754.4921875,12,1449,
22225.130859375,12,1499,
,12,1533,20851.13671875
20340.1015625,13,1549,
19899.615234375,13,1599,
19688.447265625,13,1649,
,13,1651,20098.994140625
19646.06640625,14,1699,
18839.40234375,14,1749,
,14,1769,19781.794921875
18731.130859375,15,1799,
18307.0,15,1849,
,15,1887,18507.095703125
18563.9375,16,1899,
18172.939453125,16,1949,
17052.18359375,16,1999,
,16,2005,18016.830078125
17589.1484375,17,2049,
17722.74609375,17,2099,
,17,2123,17998.240234375
16355.837890625,18,2149,
16505.486328125,18,2199,
,18,2241,16781.17578125
17086.5703125,19,2249,
17551.72265625,19,2299,
15636.77734375,19,2349,
,19,2359,16380.4384765625
17238.0859375,20,2399,
16138.3740234375,20,2449,
,20,2477,16015.0654296875
15599.05859375,21,2499,
17264.98828125,21,2549,
,21,2595,15530.3955078125
15008.9365234375,22,2599,
14237.8515625,22,2649,
15449.544921875,22,2699,
,22,2713,15098.9443359375
14196.8125,23,2749,
14560.62109375,23,2799,
,23,2831,14858.646484375
14523.8671875,24,2849,
13906.1962890625,24,2899,
2506.76904296875,24,2949,
,24,2949,14547.51953125
13737.322265625,25,2999,
13400.6103515625,25,3049,
,25,3067,14046.17578125
13610.2705078125,26,3099,
13089.1181640625,26,3149,
,26,3185,13794.2177734375
13354.830078125,27,3199,
13756.87890625,27,3249,
13657.1796875,27,3299,
,27,3303,13470.796875
13909.02734375,28,3349,
12954.8984375,28,3399,
,28,3421,13288.0849609375
12817.333984375,29,3449,
12352.4150390625,29,3499,
,29,3539,12976.1806640625
12731.1298828125,30,3549,
13643.4189453125,30,3599,
12510.1650390625,30,3649,
,30,3657,12885.623046875
12871.359375,31,3699,
12279.189453125,31,3749,
,31,3775,13184.08203125
12648.3291015625,32,3799,
11330.1982421875,32,3849,
,32,3893,12413.4091796875
11733.56640625,33,3899,
11411.779296875,33,3949,
12695.3251953125,33,3999,
,33,4011,13007.111328125
12573.31640625,34,4049,
11075.1533203125,34,4099,
,34,4129,11994.5625
11244.7158203125,35,4149,
11315.2119140625,35,4199,
,35,4247,12689.9814453125
10767.7568359375,36,4249,
10628.9619140625,36,4299,
11000.1796875,36,4349,
,36,4365,11636.3203125
10670.068359375,37,4399,
10587.75,37,4449,
,37,4483,11572.3017578125
10648.8154296875,38,4499,
10617.775390625,38,4549,
11472.771484375,38,4599,
,38,4601,11526.384765625
10217.525390625,39,4649,
10215.37109375,39,4699,
,39,4719,11242.1884765625
10825.8515625,40,4749,
9881.369140625,40,4799,
,40,4837,11112.0791015625
10656.51171875,41,4849,
10186.7578125,41,4899,
10429.392578125,41,4949,
,41,4955,11039.392578125
10165.2236328125,42,4999,
9647.052734375,42,5049,
,42,5073,10717.11328125
9677.130859375,43,5099,
10136.7578125,43,5149,
,43,5191,10944.3720703125
10901.693359375,44,5199,
9338.7412109375,44,5249,
9675.634765625,44,5299,
,44,5309,10430.0126953125
9517.1611328125,45,5349,
9498.970703125,45,5399,
,45,5427,10386.8056640625
9755.865234375,46,5449,
9282.3720703125,46,5499,
,46,5545,10462.154296875
9527.419921875,47,5549,
9607.173828125,47,5599,
9348.7734375,47,5649,
,47,5663,10277.5146484375
9170.2294921875,48,5699,
9577.197265625,48,5749,
,48,5781,9999.984375
9218.91796875,49,5799,
8883.6640625,49,5849,
1638.6099853515625,49,5899,
,49,5899,9838.1240234375
9354.775390625,50,5949,
9064.1083984375,50,5999,
,50,6017,9762.5439453125
9063.044921875,51,6049,
8635.658203125,51,6099,
,51,6135,9619.9443359375
8850.28515625,52,6149,
8600.0126953125,52,6199,
8773.3388671875,52,6249,
,52,6253,9754.671875
8043.783203125,53,6299,
